epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21732.1,1.63142,1.96842,1.62018,0.36832,0.28119,0.2666,0.13663,1.60437,1.84808,1.65925,0.008614,0.008614,0.008614
44,22237.3,1.64775,1.9835,1.63445,0.36847,0.28262,0.26914,0.13848,1.60053,1.8432,1.65558,0.008581,0.008581,0.008581
45,22742.8,1.64208,1.9834,1.6289,0.3759,0.28411,0.26926,0.13821,1.59842,1.841,1.65429,0.008548,0.008548,0.008548
46,23246.8,1.64076,1.96828,1.62469,0.36917,0.28615,0.26972,0.13873,1.59792,1.83884,1.65241,0.008515,0.008515,0.008515
47,23751.9,1.62186,1.96892,1.60733,0.3811,0.2883,0.27387,0.13921,1.59699,1.83844,1.65111,0.008482,0.008482,0.008482
48,24257.2,1.63148,1.96162,1.62198,0.36561,0.28879,0.27346,0.13937,1.59546,1.83487,1.65025,0.008449,0.008449,0.008449
49,24762.5,1.62716,1.97593,1.61788,0.37213,0.28999,0.27451,0.13954,1.59543,1.83453,1.65099,0.008416,0.008416,0.008416
50,25267.5,1.62019,1.95521,1.60947,0.37801,0.29183,0.27615,0.14059,1.59502,1.83294,1.64995,0.008383,0.008383,0.008383
51,25772.2,1.63107,1.96373,1.61537,0.38346,0.29686,0.27825,0.1413,1.59492,1.83377,1.64874,0.00835,0.00835,0.00835
52,26277.9,1.63438,1.97391,1.628,0.37515,0.2949,0.2768,0.14058,1.59421,1.83231,1.64821,0.008317,0.008317,0.008317
53,26781.8,1.63071,1.95816,1.60406,0.3822,0.29062,0.27595,0.14136,1.59423,1.83118,1.64745,0.008284,0.008284,0.008284
54,27286.8,1.62643,1.96233,1.61031,0.38423,0.29594,0.27863,0.14234,1.59471,1.82978,1.64687,0.008251,0.008251,0.008251
55,27792.1,1.62197,1.9618,1.61711,0.37459,0.29871,0.27719,0.14247,1.5939,1.82994,1.64556,0.008218,0.008218,0.008218
56,28297.1,1.62023,1.94567,1.60316,0.38816,0.29815,0.27798,0.14209,1.59492,1.83026,1.64491,0.008185,0.008185,0.008185
57,28800.8,1.62412,1.9445,1.60057,0.38389,0.2978,0.27686,0.14185,1.59289,1.82623,1.64289,0.008152,0.008152,0.008152
58,29304.5,1.61846,1.93752,1.60733,0.39669,0.30395,0.28105,0.14385,1.5915,1.82002,1.64223,0.008119,0.008119,0.008119
59,29809.8,1.63131,1.94224,1.61412,0.39673,0.30108,0.28088,0.14329,1.59156,1.82032,1.64194,0.008086,0.008086,0.008086
60,30313.7,1.62367,1.93405,1.60447,0.37846,0.29566,0.2807,0.14296,1.59129,1.81742,1.64189,0.008053,0.008053,0.008053
61,30817.7,1.61973,1.94144,1.5951,0.38306,0.29869,0.28171,0.14293,1.59085,1.81735,1.64131,0.00802,0.00802,0.00802
62,31322.4,1.62408,1.93921,1.60558,0.38339,0.30334,0.28644,0.14461,1.59027,1.8167,1.64047,0.007987,0.007987,0.007987
63,31827.7,1.61085,1.92072,1.59296,0.39505,0.30002,0.28656,0.14521,1.59048,1.81689,1.64088,0.007954,0.007954,0.007954
64,32333.3,1.60998,1.90446,1.58409,0.39722,0.3074,0.28705,0.14501,1.59019,1.81377,1.64043,0.007921,0.007921,0.007921
65,32837.4,1.60874,1.90369,1.59191,0.39815,0.30496,0.28858,0.14544,1.59132,1.81248,1.64082,0.007888,0.007888,0.007888
66,33343.5,1.61311,1.89923,1.59739,0.4082,0.30623,0.28851,0.1463,1.58965,1.80987,1.63876,0.007855,0.007855,0.007855
67,33849.1,1.60279,1.91886,1.59158,0.39014,0.30464,0.28887,0.1469,1.58975,1.80777,1.63712,0.007822,0.007822,0.007822
68,34354.9,1.60681,1.92031,1.58894,0.37776,0.30233,0.28828,0.14746,1.58795,1.80604,1.6351,0.007789,0.007789,0.007789
69,34860.1,1.61296,1.91751,1.59505,0.38275,0.30058,0.28775,0.14654,1.58832,1.80347,1.63396,0.007756,0.007756,0.007756
70,35364.4,1.60895,1.91151,1.58882,0.37875,0.30434,0.28794,0.14667,1.58863,1.802,1.63287,0.007723,0.007723,0.007723
71,35865.5,1.59247,1.89719,1.5863,0.38223,0.30477,0.28788,0.14676,1.58872,1.80016,1.63329,0.00769,0.00769,0.00769
72,36369.6,1.61452,1.90111,1.58459,0.38539,0.30907,0.28986,0.14802,1.58947,1.79815,1.63272,0.007657,0.007657,0.007657
